nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SMP PGRI 25,Jl. Mardani Raya No. 12 A,Johar Baru,Johar Baru,358,5,(021) 4200212,Banjir,-6.181376,106.860222
SMP Al-Irsyad Al-Islamiyah,Jl. Mindi Raya No. 29-35,Lagoa,K o j a,373,18,(021) 43933542 / 43935713,Banjir,-6.11525,106.904167
SMP Karya Bahari,Jl. Mindi No. 36,Lagoa,K o j a,0,11,(021) 43909933,Banjir,-6.110759,106.917221
SMP Muhammadiyah 14,Jl. H. Murtadho No. 2A,Tugu Utara,K o j a,0,12,(021) 4372430,Banjir,-6.128865,106.910042
SMP Negeri 279,Jl. Mahoni No. 44,Lagoa,K o j a,638,29,(021) 43935194,Banjir,-6.116427,106.194267
SMP Nusantara,Jl. Kramat Jaya Gg. VIII,Tugu Utara,K o j a,231,17,(021) 4408883,Banjir,-6.1154,106.920502
SMP Al Mu'min,Jl. Kapuk Kamal,Tegal Alur,Kalideres,169,12,(021) 60200732,Banjir,-6.113281,106.722206
SMP Negeri 125,Jl. Utan Jati,Pegadungan,Kalideres,631,25,(021) 5417532/29029082,Banjir,-6.148107,106.713943
SMP Negeri 204,Jl. Peta Utara Pegadungan,Pegadungan,Kalideres,630,23,(021) 5450436,Banjir,-6.139639,106.700989
SMP PGRI 39,Jl. Komplek Kebersihan No.17,Tegal Alur,Kalideres,137,16,(021) 55952679,Banjir,-6.127742,106.719269
SMP Yapis,Jl. Lingkungan III No. 25,Tegal Alur,Kalideres,148,10,(021) 5556736,Banjir,-6.107479,106.710152
SMP Negeri 240,Jl. H. Raya No. 16 B,Gandaria Utara,Kebayoran Baru,817,31,(021) 7204711,Banjir,-6.262252,106.790382
SMP Negeri 31,Jl. Peninggaran Barat III,Kebayoran Lama Utara,Kebayoran Lama,784,39,(021) 7239730,Banjir,-6.248274,106.780533
SMP Negeri 66,Jl. Masjid An-Nur Grogol Selatan,Grogol Selatan,Kebayoran Lama,524,24,(021) 7262921,Banjir,-6.22157,106.784332
SMP Abdi Siswa,Jl. Patra Raya Tomang Raya No. 1,Duri Kepa,Kebon Jeruk,119,14,(021) 5659055,Banjir,-6.182425,106.779785
SMP Al Mukhlish,Jl. Asia Baru Duri Kepa No. 60,Duri Kepa,Kebon Jeruk,244,14,(021) 5674776,Banjir,-6.175426,106.775726
SMP Bina Utama,Jl. Kepa Timur Raya No. 1,Duri Kepa,Kebon Jeruk,67,11,(021) 71026227,Banjir,-6.180202,106.775352
SMP Negeri 220,Jl. Mangga I,Duri Kepa,Kebon Jeruk,690,31,(021) 5687919,Banjir,-6.17579,106.778969
SMP Provedentia,Jl. Raya Kedoya NO.35 Grenn Garden,Kedoya Utara,Kebon Jeruk,160,15,(021) 5652477-5652459,Banjir,-6.166385,106.763794
SMP Rasa Sayang,Jl. Komp. Taman Ratu Blk F/13,Duri Kepa,Kebon Jeruk,49,13,(021) 5643280,Banjir,-6.171873,106.768791
SMP Santo Andreas,Jl. Komplek Green Garden Blok J5 No.1,Kedoya Utara,Kebon Jeruk,95,11,(021) 5804058,Banjir,-6.16766,106.76091
SMP Widuri Jaya,Jl. Duri Mas Raya No. 1,Duri Kepa,Kebon Jeruk,73,12,(021) 5605159,Banjir,-6.177799,106.771523
SMP Negeri 10,Jl. Sumur Batu,Sumur Batu,Kemayoran,718,35,(021) 4241406,Banjir,-6.163451,106.865074
SMP Negeri 183,"Jl. Cempaka Baru VII, No. 47",Cempaka Baru,Kemayoran,473,21,(021) 4245884,Banjir,-6.170851,106.860985
SMP Paskalis 3,"Jl. Ranjau No. 13, Komplek Kodam",Sumur Batu,Kemayoran,217,12,(021) 4220556,Banjir,-6.171803,106.862411
SMP Negeri 126,Jl. SMP 126,Batu Ampar,Kramat Jati,895,50,(021) 8094151,Banjir,-6.27249,106.862373
SMP Negeri 268,Jl. SD Inpres,Kebon Pala,Makasar,875,51,(021)8007517,Banjir,-6.257953,106.881622
PKBM AS-SAMAWAAT,Jl. Bangka III No. 6,Pela Mampang,Mampang Prapatan,15,1,n.a,Banjir,0,0
SMP Negeri 141,Jl. Pondok Jaya VIII/15 B,Pela Mampang,Mampang Prapatan,746,37,(021) 7192868,Banjir,-6.24905,106.82222
SMP Negeri 141 Terbuka,Jl. Pondok Jaya VIII/15B,Pela Mampang,Mampang Prapatan,22,29,(021) 7192868,Banjir,-6.24905,106.82222
SMP Pembangunan,Jl. Pengayoman III no. 95,Utan Kayu Utara,Matraman,232,15,(021) 8509012,Banjir,-6.194004,106.871269
SMP Negeri 238,Jl. Kalibata VI No. 2,Duren Tiga,Pancoran,602,33,(021) 7991565,Banjir,-6.24526,106.842545
SMP Negeri 46,Jl. Rukun Pejaten Timur,Pejaten Timur,Pasar Minggu,412,23,(021) 7988153,Banjir,-6.271568,106.855103
SMP Negeri 179,Jl. Kalisari,Kalisari,Pasar Rebo,960,52,(021) 8711073,Banjir,-6.331246,106.852509
SMP Negeri 179 Terbuka,Jl. Kalisari,Kalisari,Pasar Rebo,82,21,(021) 8711073,Banjir,-6.331246,106.852509
PKBM AULIA,Jl. C No. 205 A Teluk Gong,Pejagalan,Penjaringan,23,7,,Banjir,0,0
SMP Negeri 112,Jl. Al Teluk Gong Pejagalan,Pejagalan,Penjaringan,791,32,(021) 6630332,Banjir,-6.130887,106.786995
SMP Negeri 122,Jl. SMP 122 No. 26,Kapuk Muara,Penjaringan,818,38,(021) 70288122,Banjir,-6.13531,106.763992
SMP Negeri 261,Jl. Muara Angke Pluit,Pluit,Penjaringan,691,29,(021) 6682126,Banjir,-6.116576,106.779152
SMP Negeri 261 Terbuka,Jl. Muara Angke,Pluit,Penjaringan,191,21,(021) 6682126,Banjir,-6.116576,106.779152
SMP Permata Indah,Jl. Kampung Gusti Blok A/1,Pejagalan,Penjaringan,286,16,(021) 6680801,Banjir,-6.139386,106.778564
SMP Bina Kusuma,Jl. Merpati Raya No. 38,Pesanggrahan,Pesanggrahan,35,11,(021) 7354605,Banjir,-6.25017,106.759521
SMP Negeri 232,Jl. Gading Raya No. 16,Pisangan Timur,Pulo Gadung,848,37,(021) 4712538,Banjir,-6.202934,106.882339
